id,text,category,severity,is_cybercrime,timestamp,word_count,char_count,contains_urls,contains_money_terms,contains_urgency,threat_level
financial_fraud_001,I need you to send $500 to help with my emergency,financial_fraud,high,True,2026-01-10 20:23:22.052985,11,49,False,True,True,9.0
financial_fraud_002,Can you transfer money to this account for investment opportunity,financial_fraud,high,True,2025-10-14 20:23:22.052985,10,65,False,True,False,8.0
financial_fraud_003,Send bitcoin to this address for guaranteed returns,financial_fraud,high,True,2025-06-05 20:23:22.052985,8,51,False,True,False,8.0
financial_fraud_004,Western Union transfer required for lottery winnings,financial_fraud,high,True,2025-12-02 20:23:22.052985,7,52,False,True,False,8.0
financial_fraud_005,Need your bank details for international money transfer,financial_fraud,high,True,2025-07-13 20:23:22.052985,8,55,False,True,False,8.0
financial_fraud_006,PayPal payment required to unlock your inheritance,financial_fraud,high,True,2025-06-28 20:23:22.052985,7,50,False,True,False,8.0
financial_fraud_007,Wire transfer needed for business partnership,financial_fraud,high,True,2025-04-12 20:23:22.052985,6,45,False,True,False,8.0
financial_fraud_008,Send money through MoneyGram for urgent medical bills,financial_fraud,high,True,2026-01-13 20:23:22.052985,8,53,False,True,True,9.0
financial_fraud_009,Crypto payment needed for exclusive trading tips,financial_fraud,high,True,2025-04-13 20:23:22.052985,7,48,False,True,False,8.0
financial_fraud_010,Cash advance required for real estate investment,financial_fraud,high,True,2025-07-12 20:23:22.052985,7,48,False,True,False,8.0
financial_fraud_011,"Quick loan available, just send processing fee first",financial_fraud,high,True,2025-05-27 20:23:22.052985,8,52,False,False,False,7.0
financial_fraud_012,"Government refund available, send personal details",financial_fraud,high,True,2025-06-12 20:23:22.052985,6,50,False,False,False,7.0
financial_fraud_013,"Foreign lottery winner, pay taxes to claim prize",financial_fraud,high,True,2025-05-17 20:23:22.053985,8,48,False,False,False,7.0
financial_fraud_014,Investment scheme with 500% returns guaranteed,financial_fraud,high,True,2025-06-17 20:23:22.053985,6,46,False,False,False,7.0
financial_fraud_015,Nigerian prince needs help transferring millions,financial_fraud,high,True,2025-05-01 20:23:22.053985,6,48,False,True,False,8.0
financial_fraud_016,PayPal payment required to unlock your inheritance,financial_fraud,high,True,2025-11-04 20:23:22.053985,7,50,False,True,False,8.0
financial_fraud_017,Western Union transfer required for lottery winnings,financial_fraud,high,True,2025-06-30 20:23:22.053985,7,52,False,True,False,8.0
financial_fraud_018,Investment scheme with 500% returns guaranteed Please respond ASAP,financial_fraud,high,True,2025-05-13 20:23:22.053985,9,66,False,False,True,8.0
financial_fraud_019,"Foreign lottery winner, pay taxes to claim prize!!",financial_fraud,high,True,2025-11-15 20:23:22.053985,8,50,False,False,False,7.5
financial_fraud_020,Wire transfer needed for business partnership,financial_fraud,high,True,2025-06-05 20:23:22.053985,6,45,False,True,False,8.0
financial_fraud_021,SEND BITCOIN TO THIS ADDRESS FOR GUARANTEED RETURNS,financial_fraud,high,True,2025-08-30 20:23:22.053985,8,51,False,True,False,9.0
financial_fraud_022,"QUICK LOAN AVAILABLE, JUST SEND PROCESSING FEE FIRST",financial_fraud,high,True,2025-10-06 20:23:22.053985,8,52,False,False,False,8.0
financial_fraud_023,URGENT: PayPal payment required to unlock your inheritance,financial_fraud,high,True,2025-10-27 20:23:22.053985,8,58,False,True,True,9.0
